short_new,long,shorts
Quilici 1978,"L. Quilici, La Via Latina da Roma a Castel Savelli, Rome, 1978.",Quilici 1978
Sauciuc 1914,"T. Sauciuc, Andros. Untersuchungen zur Geschichte und Topographie der Insel, Vienna, 1914.",Sauciuc 1914
Haldimann 1992,"M.-A. Haldimann, “Les implantations Omeyyades dans la Balqa: l’apport d’Umm el-Walid,” ADAJ 36 (1992) 307-23.",Haldimann 1992
ACRT,"A. Caillemer and R. Chevallier, Atlas des centuriations romaines de Tunisie, Paris, 1959.",ACRT
Faure 1988,"P. Faure, “Cités antiques de la Crète de l’ouest,” CretStud 1 (1988) 83-96.",Faure 1988
Kontoleon 1954,"N.M. Kontoleon, “’Ανασκαφὴ ἐν Νάξῳ,” Praktika (1954) 330-38.",Kontoleon 1954
Cumont 1906,"F.V.M. Cumont and E. Cumont, Voyage d’exploration archéologique dans le Pont et la Petite Arménie, Studia Pontica 2, Brussels, 1906.",Cumont 1906
Vidal 1991,"M. Vidal, “La nécropole mérovingienne de Rivel à Venerque (Haute-Garonne) : synthèse des résultats,” in 7 Journées internationales d’archéologie Mérovingienne (Toulouse 1985), pp. 189-203, Rouen, 1991.",Vidal 1991
Quilici 1974,"L. Quilici, “La Campagna Romana come suburbio di Roma antica,” PP 29 (1974) 410-38.",Quilici 1974
Huppenbauer 1962,"H.W. Huppenbauer, “Die römische Strasse im südlichen Gilead,” ZDPV 78 (1962) 171-79.",Huppenbauer 1962
Gagnière 1963,"S. Gagnière, J. Granier and A. de la Peine, “Le site paleochrétien de Saint-Etienne de Candau: commune des Angles (Gard),” CLPA 12 (1963) 103-30.",Gagnière 1963
Ghadban 1981,"C. Ghadban, “Les frontières du territoire d’Héliopolis-Baalbeck à la lumière de nouveaux documents,” La Géographie administrative et politique d’Alexandre à Mahomet. Actes du colloque de Strasbourg, 14-16 juin 1979, Travaux du Centre de Recherche sur le proche-Orient et la Grèce antiques 6, pp. 143-68, Leiden, 1981.",Ghadban 1981
Jacopi 1928,"G. Jacopi, “La necropoli geometrica ed arcaica,” Clara Rhodos 1 (1928) 65-71.",Jacopi 1928
Caiazza 1986,"D. Caiazza, Archeologia e storia antica del mandamento di Pietramelara e del Montemaggiore, I: Preistoria ed età sannitica, Pietramelara, 1986.",Caiazza 1986
Bosworth 1984,"C.E. Bosworth, “Madyan Shu'ayb in pre-Islamic and early Islamic lore and history,” Journal of Semitic Studies 29 (1984) 53-64.",Bosworth 1984
CAG 17/1,"L. Maurin, Carte archéologique de la Gaule 17/1. La Charente-Maritime, Paris, 1999.",CAG 17/1
Finocchi 1995,"S. Finocchi (ed.), Libarna, Castelnuovo Scrivia, 1995.",Finocchi 1995
Gizzi 1990,"S. Gizzi and G. Ghini, “Progetto di recupero della cosidetta tomba degli Orazi e Curiazi ad Albano,” in S. Quilici Gigli (ed.), La Via Appia, pp. 163-67, QuadAEI 18, 1990.",Gizzi 1990
Dubé 1978,"B. Dubé, “Description de la voie romaine d’Orléans à Bourges entre Pierrefitte-sur-Sauldre et Souesmes,” Bulletin trimestriel de la Société d’art, d’histoire et d’archéologie de la Sologne 2 (1978) 3-4.",Dubé 1978
Vanden Berghe 1953,"L. Vanden Berghe, “Monuments récemment découverts en Iran méridional,” Bibliotheca Orientalis 10 (1953) 5-8.",Vanden Berghe 1953
Wheeler 1951,"R.E.M. Wheeler, “Roman contact with India, Pakistan and Afghanistan,” in W.F. Grimes (ed.), Aspects of archaeology in Britain and beyond: essays presented to O.G.S. Crawford, pp. 345-81, London, 1951.",Wheeler 1951
CA Bergamo,"R. Poggiani Keller (ed.), Carta archeologica della Lombardia. La Provincia di Bergamo. II. La Carta archeologica del territorio di Bergamo, Modena, 1992.",CA Bergamo
Woźniak 1970,"Z. Woźniak, Osadnictwo celtyckie w Polsce, Wrocław, 1970.",Woźniak 1970
Toussoun 1922,"O. Toussoun, Mémoire sur les anciennes branches du Nil, epoque ancienne et arabe, Mémoires de l’Institut d’Egypte 4, Cairo, 1922-23.",Toussoun 1922
Trionfo dell’acqua,"Il trionfo dell’acqua. Acque e acquedotti a Roma, IV sec. a. C.- XX sec., Rome, 1986.",Trionfo dell’acqua
Paladino 1989,"A. Paladino and G. Troiano, Calabria citeriore. Archeologia in provincia di Cosenza, Trebisacce, 1989.",Paladino 1989
Lindner 1989,"M. Lindner, “Sabra,” in D. Homès-Fredericq and J.B. Hennesey (eds.), Archaeology of Jordan 2.2, Akkadica Suppl. 8, pp. 500-505, Louvain, 1989.",Lindner 1989
Buck 1971,"R.J. Buck, “The Via Herculia,” PBSR 39 (1971) 66-87.",Buck 1971
Reynaud 1998,"J.-F. Reynaud, Lugdunum Christianorum, DAF 69, Paris, 1998.",Reynaud 1998
Pasquinucci 1992,"M. Pasquinucci, “Ricerche topografico-archeologiche in aree dell’Italia settentrionale e centrale,” in M. Bernardi (ed.), Archeologia del Paesaggio, vol. 2, pp. 525-44, Florence, 1992.",Pasquinucci 1992
Curchin 1990,"L.A. Curchin, The local magistrates of Roman Spain, Toronto, 1990.",Curchin 1990
Pasquinucci 1994,"M. Pasquinucci and S. Menchelli, Vada Volaterrana: l’area archeologica in località S. Gaetano, Rosignano Marittimo, 1994.",Pasquinucci 1994
Pasquinucci 1995,"M. Pasquinucci and S. Menchelli, “Paesaggio agrario e produzioni artigianali nell’Etruria settentrionale costiera (ager Pisanus e Volaterranus),” in N. Christie (ed.), Settlement and economy in Italy, 1500 BC - AD 1500. Papers of the fifth conference of Italian archaeology, pp. 209-17, Oxford, 1995.",Pasquinucci 1995
Masson 1995,"O. Masson, “Kypriaka XIX. Appendice: antiquités de Trémithous (Tremetousha),” BCH 199 (1995) 410-13.",Masson 1995
CAG 33/1,"H. Sion, Carte archéologique de la Gaule 33/1. La Gironde, Paris, 1994.",CAG 33/1
ERAT,"Anuari d’intervencions arqueològiques a Catalunya. Epoca romana. Antiguitat tardana. Campanyes 1982-1989, Barcelona, 1993.",ERAT
Baldini 1997,"M. Baldini, “Marafor, Forum Coloniae Iuliae Parentium / Marafor - Stadtforum coloniae Iuliae Parentium,” in Arheološka istraživanja u Istri / Archaeological research in Istria, Izdanja Hrvatskog arheološkog društva 18, pp. 125-36, Zagreb, 1997.",Baldini 1997
Lordkipanidze 1991a,"O.D. Lordkipanidze, Archäologie in Georgien: von der Altsteinzeit zum Mittelalter, Weinheim, 1991.",Lordkipanidze 1991a
Cosentino 1992,"R. Cosentino, “Il complesso termale di Aquae Caeretanae,” in Papers of the Fourth Conference of Italian Archaeology, vol. 4, pp. 17-22, London, 1992.",Cosentino 1992
Leatham 1958,"J. Leatham and M.S.F. Hood, “Sub-marine exploration in Crete, 1955,” BSA 53-54 (1958-59) 263-80.",Leatham 1958
Winter 1966,"F. Winter, “Notes on military architecture in the Termessos region,” AJA 70 (1966) 127-37.",Winter 1966
Sartre 1988,"M. Sartre, “La Syrie Creuse n’existe pas,” in P.-L. Gatier, B. Helly and J.-P. Rey-Coquais (eds.), Géographie historique au Proche-Orient (Syrie, Phénicie, Arabie, grecques, romaines, byzantines) . Actes de la Table Ronde de Valbonne, 16-18 septembre 1985, pp. 15-40, Paris, 1988.",Sartre 1988
Wilkes 1969,"J.J. Wilkes, Dalmatia, London, 1969.",Wilkes 1969
Bader 1994,"A. Bader, V.A. Gaibov and G. Koshelenko, “Materials for an archaeological map of the Merv oasis: the Durnali region,” Bulletin of the Asia Institute n.s. 8 (1994) 117-28.",Bader 1994
Marek 1993,"C. Marek, Stadt, Ära und Territorium in Pontus-Bithynia und Nord-Galatien, Istanbuler Forschungen 39, Tübingen, 1993.",Marek 1993
Campanelli 1997,"A. Campanelli and A. Faustoferri (eds.), I luoghi degli Dei: sacro e natura nell’Abruzzo Italico, Sambuceto, 1997.",Campanelli 1997
Swiny 1975,"S. Swiny, “Survey in north-west Iran, 1971,” East and West 25 (1975) 77-96.",Swiny 1975
Turano 1967,"C. Turano, “Trajectus ad Siciliam,” Klearchos 9 (1967) 147-55.",Turano 1967
Byvanck 1931,"A.W. Byvanck, Excerpta Romana. De bronnen der Romeinsche geschiedenis van Nederland, Gravenhage, 1931.",Byvanck 1931
Ward Perkins 1986,"B. Ward Perkins et al., “Luni and the ager Lunensis: the rise and fall of a Roman town and its territory,” PBSR 41 (1986) 81-146.",Ward Perkins 1986
Naumann 1967,"R. Naumann, “Das Heiligtum der Meter Steunene bei Aezani,” IstMitt 17 (1967) 218-47.",Naumann 1967
Şahin 1995,"S. Şahin, “Studien zu den Inschriften von Perge II: der Gesandte Apollonios und seine Familie,” EpAnat 25 (1995) 1-23.",Şahin 1995
Faure 1984,"P. Faure, “Hydronymes crétoises,” Kretologia 16 (1984) 30-61.",Faure 1984
Bálek 1994,"M. Bálek, E. Droberjar and O. Šedo, “Die römischen Feldlager in Mähren (1991-1992),” Památky Archeologické 85 (1994) 59-74.",Bálek 1994
Lund Hansen 1987,"U. Lund Hansen, Römischer Import im Norden. Warenaustausch zwischen dem römischen Reich und dem freien Germanien während der Kaiserzeit unter besonderer Berücksichtigung Nordeuropas, Copenhagen, 1987.",Lund Hansen 1987
Willigens 1991,"M.-P. Willigens, “L’Age du Fer en Savoie et Haute-Savoie,” in A. Duval (ed.), Les Alpes à l’âge du Fer, RAN Suppl. 22, pp. 157-226, Paris, 1991.",Willigens 1991
French 1985b,"D. French, “Roma yolları ve mil taşları,” Araştırma 3 (1985) 143-54.",French 1985
Drew-Bear 1991a,"T. Drew-Bear and G. Le Rider, “Monnayage cistophorique des Apaméens, des Praipénisseis et des Corpéni sous les Attalides. Questions de géographie historique,” BCH 115 (1991) 361-76.",Drew-Bear 1991
Lucas 1962,"A. Lucas, Ancient Egyptian materials and industries, 4 ed., London, 1962.",Lucas 1962
Faisst 1990,"G.W. Faisst and L. Kolonas, “Ein Monumentaler Stufenalter bei Palairos in Akarnanien,” AA (1990) 379-95.",Faisst 1990
Lavinium 1975,"Lavinium II. Le tredici are, Rome, 1975.",Lavinium 1975
Carcopino 1943,"J. Carcopino, Le Maroc antique, Paris, 1943.",Carcopino 1943
Brulet 1990,"R. Brulet, La Gaule septentrionale au Bas-Empire, Trierer Zeitschrift Beiheft 11, Trier, 1990.",Brulet 1990
Leaf 1923,"W. Leaf, Strabo on the Troad, Cambridge, 1923.",Leaf 1923
Postgate 1981,"J.N. Postgate and M.D. Roaf, “Excavations in Iraq 1979-80,” Iraq 43 (1981) 167-98.",Postgate 1981
Py 1993,"M. Py and D. Garcia, “Bilan des recherches archéologiques sur la ville portuaire de Lattara (Lattes, Hérault),” Gallia 50 (1993) 1-93.",Py 1993
Py 1992,"M. Py, D. Lebaupin and C.-A. de Chazelles, “Stratigraphie de Marduel (Saint-Bonnet-du-Gard), V: les niveaux de la deuxième moitié du V s. av. n.è. sur le Chantier Central,” DAM 15 (1992) 261-326.",Py 1992
TIR Mediolanum,"Tabula Imperii Romani L 32, Mediolanum–Aventicum–Brigantium, Rome, 1966.",TIR Mediolanum
Capini 1991,"S. Capini and A. Di Niro (eds.), Samnium: archeologia del Molise, Rome, 1991.",Capini 1991
Škunca 1989,"A. Škunca, “Pregled antike otoka Paga / Survey of the antiquity of the island of Pag,” in Arheološka istraživanja na otocima Krku, Rabu i Pagu i u Hrvatskom Primorju / Archaeological researches of the islands of Krk, Rab and Pag and of Croatian littoral, Izdanja Hrvatskog arheološkog društva 13, pp. 23-28, Zagreb, 1989.",Škunca 1989
Sidebotham 1991,"S.E. Sidebotham, R.E. Zitterkopf and J.A. Riley, “Survey of the 'Abu Sha'ar-Nile road,” AJA 95 (1991) 571-622.",Sidebotham 1991
Coccia 1990,"S. Coccia and L. Paroli, “La basilica di Pianabella di Ostia antica nelle sue relazioni con il paesaggio fra tardo antico ed altomedioevo,” QuadAEI 19 (1990) 177-81.",Coccia 1990
Lazarides 1971,"D. Lazarides, ῎Αβδερα καί Δικαία, Ancient Greek Cities 6, Athens, 1971.",Lazarides 1971
Özoral 1980,"T. Özoral, “Fouilles dans la necropole d’Ağva,” in Actes du Colloque sur la Lycie antique, BIFEAI 27 (1980) 98-100.",Özoral 1980
De Agostino 1959,"A. De Agostino, ‘Asciano, ’ in “Rivista di epigrafia etrusca,” StEtr 27 (1959) 277-300.",De Agostino 1959
Groom 1986,"N. Groom, “Eastern Arabia in Ptolemy’s map,” Proceedings of the Seminar for Arabian Studies 16 (1986) 65-75.",Groom 1986
Boehmer 1981,"R.M. Boehmer, “Gali Zerdak,” BaghMitt 12 (1981) 151-64.",Boehmer 1981
Giffault 1990,"M. Giffault, “Giens,” in Voyage en Massalie: 100 ans d’archéologie en Gaule du Sud, pp. 214-19, Marseille, 1990.",Giffault 1990
Ashby 1928,"T. Ashby and G. Lugli, “La villa dei Flavi Cristiani ‘Ad duas Lauros’ e il suburbio imperiale ad oriente di Roma,” Atti della Pontificia Accademia Romana di Archeologia, Memorie, 2 (1928) 157-92.",Ashby 1928
Safrai 1994,"Z. Safrai, The economy of Roman Palestine, London, 1994.",Safrai 1994
van Minnen 1995,"P. van Minnen, “The earliest account of a martyrdom in Coptic,” Analecta Bollandiana 113 (1995) 13-38.",van Minnen 1995
Schuchhardt 1912,"A. Schuchhardt, “Die Ruinenstätte,” in A. Conze et al. (eds.), Altertümer von Pergamon, 1, pp. 93-143, Berlin, 1912-13.",Schuchhardt 1912
Sartre 1987,"M. Sartre, “Villes et villages du Hauran (Syrie) du I au IV siècle,” in E. Frézouls (ed.), Sociétés urbaines, sociétés rurales dans l’Asie Mineure et la Syrie hellénistiques et romaines, Contributions et travaux de l’Institut d’Histoire Romaine 4, pp. 239-57, Strasbourg, 1987.",Sartre 1987
Al-Radi 1983,"S.M.S. Al-Radi, Phlamoudhi Vounari: a sanctuary site in Cyprus, SIMA 65, Göteborg, 1983.",Al-Radi 1983
Fumagalli 1964,"R. Fumagalli, “L’acquedotto e le terme dell’epoca romana a Novara,” Bollettino storico per la provincia di Novara 55.2 (1964) 117-42.",Fumagalli 1964
Amin 1979,"A. Amin, “Tell Baradan,” Sumer 35 (1979) 510-11.",Amin 1979
Corò 1928,"F. Corò, Vestigia di colonie agricole Romane. Gebel Nefusa, Rome, 1928.",Corò 1928
Wolters 1990; 1991,"R. Wolters, “Zum Waren-und Dienstleistungsaustausch zwischen dem römischen Reich und dem freien Germanien in der Zeit des Prinzipats,” MBAH 9 (1990) 14-44 (first part) ; MBAH 10 (1991) 78-132 (second part) .",Wolters 1990; 1991
Alarcão 1988,"J. de Alarcão, Roman Portugal, 2 vols., Warminster, 1988.",Alarcão 1988
Kruglikova 1986,"I.T. Kruglikova, Dil'berdzhin, Khram Dioskurov, Moscow, 1986.",Kruglikova 1986
Staffa 1983,"A.R. Staffa, “La viabilità romana della Valle del Turano,” Xenia 6 (1983) 37-44.",Staffa 1983
Cofta-Broniewska 1979,"A. Cofta-Broniewska, Grupa kruszańska kultury przeworskiej, Seria Archeologia 11, Poznań, 1979.",Cofta-Broniewska 1979
Quilici 1991,"L. Quilici, Le strade. Viabilità tra Roma e Lazio, Rome, 1991.",Quilici 1991
Boersma 1987,"J. Boersma and D. Yntema, Valesio. Storia di un’insediamento apulo dall’età del ferro all’epoca tardoromana; bilancio delle ricerche dopo tre campagne di scavo / History of an Apulian settlement from the Iron Age to the Late-Roman Period: the results of three campaigns of fieldwork, Montedipe, 1987.",Boersma 1987
Kruglikova 1983,"I.T. Kruglikova, “Khersonesskaya usad'ba na nadele 10,” KSIA 174 (1983) 43-51.",Kruglikova 1983
Kettenhofen 1989,"E. Kettenhofen, “Toponyme bei Ps.-Pawstos,” Handes Amsorya 103 (1989) 65-79.",Kettenhofen 1989
Cambitoglu 1971,"A. Cambitoglu et al., Zagora 1. Excavation season 1967, Study season 1968-9, Australian Academy of the Humanities Monograph 2, Sydney, 1971.",Cambitoglu 1971
Quilici 1990,"L. Quilici, “Il rettifilo della Via Appia tra Roma e Terracina: la tecnica costruttiva,” in S. Quilici Gigli (ed.), La Via Appia, pp. 41-60, QuadAEI 18, 1990.",Quilici 1990
Dore 1994,"J.N. Dore, “Is el-Merj the site of ancient Barqa? Current excavations in context,” LibSt 25 (1994) 265-74.",Dore 1994
ILT,"A. Merlin (ed.), Inscriptions latines de la Tunisie, Paris, 1944.",ILT
Lipovac 1991,"G. Lipovac, “Razmatranje o problemima antičkog bedema grada Krka / Discussion on problems surrounding antique city wall of the town of Krk,” Prilozi. Institut za povijesne znanosti 8 (1991) 37-46.",Lipovac 1991
al-Sheiba 1987,"A.H. al-Sheiba, “Die Ortsnamen in den altsüdarabischen Inschriften (mit dem Versuch ihrer Identifizierung und Lokalisierung),” ABADY 4 (1987) 1-62.",al-Sheiba 1987
Cagnat 1882,"R. Cagnat, “Rapport sur une mission en Tunisie,” ArchMiss 9 (1882) 61-169.",Cagnat 1882
Canale 1955,"C.G. Canale, Engyon: ricerche di topografia antica nell’interno della Sicilia, Catania, 1955.",Canale 1955
Roth 1971,"E. Roth, “Les fouilles de Pataran,” BEAN 6-7 (1971-72) 73-94.",Roth 1971
Yatsenko 1993,"S.A. Yatsenko, “Alany v Vostochnoy Yevropye,” Peterburgskiy Arkheologicheskiy Vestnik 6 (1993) 83-88.",Yatsenko 1993
Castellani 1991,"V. Castellani and W. Dragoni, “Opere arcaiche per il controllo del territorio: gli emissari sotterranei artificiali dei laghi albani,” in M. Bergamini (ed.), Gli Etruschi maestri di idraulica, pp. 43-60, Perugia, 1991.",Castellani 1991
Le Nezet-Celestin 1996,"M. Le Nezet-Celestin et al., “Izernore et Saint-Vulbas: deux bourgades antiques de l’Ain,” Cahiers René de Lucinge 31 (1996) 61-122.",Le Nezet-Celestin 1996
Shchukin 1995,"M.B. Shchukin, “Dve repliki: o Pharzoe i nadpisi iz Mangupa, o tsare Artavasde i pogrebenii v Kosike”, VDI 4 (1995) 175-79.",Shchukin 1995
Maslennikov 1995,"A.A. Maslennikov, “Drevniye Greki v Krymskom Priazov'ye,” VDI 2 (1995) 78-93.",Maslennikov 1995
Alquier 1929,"J. Alquier and P. Alquier, Le Chettaba et les grottes à inscriptions latines du Chettaba et du Taya, Constantine, 1929.",Alquier 1929
Luni 1979,"M. Luni, “Il caravanserraglio di Cirene ed indagine preliminaire sui percorsi interni della Cirenaica,” QAL 10 (1979) 49-65.",Luni 1979
Belvedere 1986,"O. Belvedere, L’acquedotto Cornelio di Termini Imerese, Rome, 1986.",Belvedere 1986
Castagnoli 1956,"F. Castagnoli, “Tracce di centuriazioni nei territori di Nocera,” RAL ser. 8, 11 (1956) 373-78.",Castagnoli 1956
Saliby 1989,"N. Saliby, “'Amrit,” in J.-M. Dentzer and W. Orthmann (eds.), Archéologie et histoire de la Syrie 2, pp. 19-30, Saarbrücken, 1989.",Saliby 1989
Gabba 1979,"E. Gabba and M. Pasquinucci, Strutture agrarie e allevamento transumante nell'Italia romana (III-I sec. a.C.), Pisa, 1979.",Gabba 1979
Peacock 1993,"D.P.S. Peacock, “The site of Myos Hormos: a view from space,” JRA 6 (1993) 226-32.",Peacock 1993
Magny 1990,"M. Magny, “Portout: histoire d’un site à la confluence du Rhône et du lac du Bourget,” in J. Pernon and C. Pernon, Les potiers de Portout. Productions, activités et cadre de vie d’un atelier au V siècle ap. J.-C. en Savoie, RAN suppl. 20, pp. 23-27, Paris, 1990.",Magny 1990
Peacock 1990,"D.P.S. Peacock, F. Begaoui and N. Ben Lazreg, “Roman pottery production in central Tunisia,” JRA 3 (1990) 59-84.",Peacock 1990
Kaczanowski 1987,"P. Kaczanowski, Drochlin. Ciałopalne cmentarzysko kultury przeworskiej z okresu wpływów rzymskich, Kraków, 1987.",Kaczanowski 1987
Martin 1969,"J. Martin, Bida municipium en Maurétanie Césarienne (Djemaa-Saharidj), Fort-National, 1969.",Martin 1969
Rubensohn 1901,"O. Rubensohn, “Paros II. Topographie,” AthMitt 26 (1901) 157-222.",Rubensohn 1901
Peyras 1988,"J. Peyras and P. Trousset, “Le lac Tritonis et les noms anciens du Chott el Jérid,” AntAf 24 (1988) 149-204.",Peyras 1988
Schindler 1940,"R. Schindler, Die Besiedlungsgeschichte der Goten und Gepiden im unteren Weichselraum auf Grund der Tongefässe, Leipzig, 1940.",Schindler 1940
Gualtieri 1990,"M. Gualtieri and H. Fracchia, Roccagloriosa I. L’abitato: scavo e ricognizione topografica (1976-1986), Naples, 1990.",Gualtieri 1990
Phaklares 1990,"P.V. Phaklares, ’Αρχαία Κυνουρία, Athens, 1990.",Phaklares 1990
Pietrangeli 1939,"C. Pietrangeli, Spoletium (Spoleto), Rome, 1939.",Pietrangeli 1939
Panvini 1993,"R. Panvini and V. Caminnecci, “Il complesso rurale di contrada Piano Camera,” Kokalos 39-40 (1993-94) 825-43.",Panvini 1993
Ivanov 1980,"T. Ivanov, Abritus. A Roman castle and Early Byzantine town in Moesia Inferior, Sofia, 1980.",Ivanov 1980
Ivanov 1981,"T. Ivanov (ed.), Pernik, vol. 1, Sofia, 1981.",Ivanov 1981
Akopyan 1987,"A.A. Akopyan, Albania-Aluank v greko-latinskikh i drevnearmyanskikh istochnikakh, Erevan, 1987.",Akopyan 1987
Buschmann 1988,"K. Buschmann, “Die Expedition des Melesander nach Lykien 430/29 v. Chr. und die Lokalisierung von ΦΟΙΝΙΚΗ,” EpAnat 12 (1988) 1-7.",Buschmann 1988
Daniels 1968,"C.M. Daniels, “Garamantian excavations: Zinchecra 1965-1967,” LibAnt 5 (1968) 113-94.",Daniels 1968
Brogan 1979,"O. Brogan, “Hadd Hajar, a clausura in the Tripolitanian Gebel Garian south of Asabaa,” LibSt 11 (1979-80) 45-52.",Brogan 1979
Ball 1913,"J. Ball, Topography and geology of the phosphate district of Safâga (Eastern Desert of Egypt), Cairo, 1913.",Ball 1913
Ball 1912,"J. Ball, The geography and geology of south-eastern Egypt, Cairo, 1912.",Ball 1912
Greci Enotri Lucani,"S. Bianco et al. (eds.), I Greci in Occidente. Greci, Enotri e Lucani nella Basilicata meridionale, Naples, 1996.",Greci Enotri Lucani
Gualtieri 1995,"M. Gualtieri and H. Fracchia, “Oppido Lucano (Potenza) Italy: second interim report,” EMC 14 (1995) 101-35.",Gualtieri 1995
Brogan 1978,"O. Brogan, “Es-Sernama Bir el-Uaar: a Roman tomb in Libya,” in R. Moorey and P. Parr (eds.), Archaeology in the Levant. Essays for Kathleen Kenyon, pp. 233-37, Warminster, 1978.",Brogan 1978
Panvini 1996,"R. Panvini, Γέλας. Storia e archeologia dell’antica Gela, Turin, 1996.",Panvini 1996
Chatzeioannou 1985,"S.I. Chatzeioannou, “Το ρωμαικό υδραγογείο Μυτιλήνης,” Lesbiaka 9 (1985) 153-72.",Chatzeioannou 1985
Geyer 1903,"F. Geyer, Topographie und Geschichte der Insel Euboia, Berlin, 1903.",Geyer 1903
Robert 1962,"L. Robert, Villes d’Asie Mineure, 2 ed., Paris, 1962.",Robert 1962
Marin 1964,"M.D. Marin, “Scavi archeologici nella contrada S. Vito presso il lago di Salpi,” Archivio Storico Pugliese 17 (1964) 167-224.",Marin 1964
Castiglioni 1995,"A. Castiglioni, A. Castiglioni and J. Vercoutter, L’Eldorado dei Faraoni: alla scoperta di Berenice Pancrisia, Novara, 1995.",Castiglioni 1995
Castiglioni 1994,"A. Castiglioni and A. Castiglioni, “Discovering Berenice Panchrysos,” EgArch 4 (1994) 19-22.",Castiglioni 1994
D’Agostino 1968a,"B. D’Agostino “Marcina?,” DdA II (1968) 139-51.",D’Agostino 1968
Huff 1979,"D. Huff, “Firuzabad: Palast Ardashirs I.,” Iran 17 (1979) 149-50.",Huff 1979
Sánchez-Lafuente Pérez 1985,"J. Sánchez-Lafuente Pérez, “Luzaga, Ciudad de Celtiberia,” in F. Burillo (ed.), Poblamiento Celtibérico. III Simposio sobre los Celtíberos, pp. 191-201, Zaragoza, 1985.",Sánchez-Lafuente Pérez 1985
Zheku 1987,"K. Zheku, “Recension on Tabula Imperii Romani K34 Naissus, Durrhachion, Scupi, Sardica, Thessalonike,” Iliria 17/2 (1987) 269-72.",Zheku 1987
Japaridze 1989,"V.M. Japaridze, Vardtsikhis nakalakari, Tbilisi, 1989.",Japaridze 1989
Reynolds 1955,"J.M. Reynolds, “Inscriptions of Roman Tripolitania (IRT) : a supplement,” PBSR 23 (1955) 124-47.",Reynolds 1955
Brünnow 1904,"R. Brünnow and A. von Domaszewski, Die Provincia Arabia, 3 vols., Strasbourg, 1904-1909.",Brünnow 1904
de Ruyt 1978,"C. de Ruyt, “La Cava di Castro, route étrusque et tronçon probable de la Via Clodia à l’ouest du lac de Bolsena,” in R. Lambrechts (ed.), Mélanges d’Etruscologie, pp. 32-59, Louvain, 1978.",de Ruyt 1978
Whitcomb 1996,"D. Whitcomb, “Quseir al-Qadim and the location of Myos Hormos,” Topoi 6/2 (1996) 747-72.",Whitcomb 1996
Smith 1998,"R.R.R. Smith and C. Ratté, “Archaeological research at Aphrodisias in Caria, 1996,” AJA 103 (1998) 225-50.",Smith 1998
Milesi 1992,"F. Milesi (ed.), Fano romana, Fano, 1992.",Milesi 1992
Rüdiger 1967,"U. Rüdiger, “S. Maria d’Anglona. Rapporto preliminare sulle due campagne di scavi negli anni 1965 e 1966,” NSc 21 (1967) 331-53.",Rüdiger 1967
Harrison 1993,"G.W.M. Harrison, The Romans and Crete, Amsterdam, 1993.",Harrison 1993
Villa romana,"La villa romana. Giornata di studi, Russi 10 maggio 1970, Faenza, 1971.",Villa romana
Chamoux 1953,"F. Chamoux, Cyrène sous la monarchie des Battiades, Bibliothèque des écoles françaises d’Athènes et de Rome, fasc. 177, Paris, 1953.",Chamoux 1953
Colletta 1989,"T. Colletta, La struttura antica del territorio di Sessa Aurunca, Milan, 1989.",Colletta 1989
Betz 1990,"A. Betz and E. Weber, Aus Österreichs römischer Vergangenheit, Vienna, 1990.",Betz 1990
Vööbus 1958,"A. Vööbus, A history of asceticism in the Syrian Orient, 2 vols., CSCO 184 and 197, Louvain, 1958, 1960.",Vööbus 1958
Di Vita-Evrard 1978,"G. Di Vita-Evrard, “Le plus ancien milliare de Tripolitaine: A. Caecina Severus, proconsul d’Afrique,” LibAnt 15-16 (1978-79) 9-44.",Di Vita-Evrard 1978
Daniels 1987,"C.M. Daniels, “Africa,” in J. Wacher (ed.), The Roman world, vol. 1, pp. 223-65, London, 1987.",Daniels 1987
Small 1998,"A.M. Small et al., “Field survey in the Basentello valley on the Basilicata-Puglia border,” EMC n.s. 17 (1998) 337-71.",Small 1998
Pollet 1990,"G. Pollet, P. Eggermont and G. van Damme, Corpus topographicum Indiae antiquae. Part II: archaeological sites, Orientalia Lovaniensia Analecta 37, Leuven, 1990.",Pollet 1990
Di Vita-Evrard 1979,"G. Di Vita-Evrard, “Quatre inscriptions du Djebel Tarhuna: le térritoire de Lepcis Magna,” QAL 10 (1979) 67-98.",Di Vita-Evrard 1979
Vickers 1971,"M. Vickers and A. Bazama, “A fifth century BC tomb in Cyrenaica,” LibAnt 8 (1971) 69-84.",Vickers 1971
Karageorghis 1970,"V. Karageorghis, “Chronique des fouilles et découvertes archéologiques à Chypre en 1969,” BCH 94 (1970) 191-300.",Karageorghis 1970
Vassallo 1999,"S. Vassallo (ed.), Colle Madore. Un caso di ellenizzazione in terra sicana, Palermo, 1999.",Vassallo 1999
Lo Porto 1991,"F.G. Lo Porto, Timmari: l’abitato, le necropoli, la stipe votiva, Rome, 1991.",Lo Porto 1991
Anfimov 1950,"N.V. Anfimov, “Meotskiye poseleniya Vostochnovo Priazov'ya,” KSIA 34 (1950) 85-96.",Anfimov 1950
Desanges 1978,"J. Desanges, Recherches sur l’activité des Méditerranéens aux confins de l’Afrique, CEFR 38, Rome, 1978.",Desanges 1978
